id,timestamp,index_x,index_y,index_z,pinky_x,pinky_y,pinky_z
1441838,86677801801,0.04607303,-0.04681133,0.3458744,-0.01349004,-0.055066,0.3755674
1441840,86677822470,0.04613125,-0.04683181,0.3459362,-0.01345125,-0.05506294,0.3756178
1441842,86677838660,0.04618151,-0.04687681,0.3459305,-0.01342214,-0.05508111,0.3756238
1441844,86677853440,0.04623985,-0.04693837,0.3459692,-0.01339426,-0.05512403,0.3756932
1441846,86677870377,0.04628671,-0.04696067,0.3459736,-0.01335874,-0.05512752,0.3756967
1441848,86677886173,0.04632891,-0.04693132,0.3459899,-0.01335909,-0.05506676,0.3757071
1441850,86677903749,0.04637969,-0.04691801,0.3460905,-0.01331519,-0.05506105,0.3757496
1441852,86677921803,0.04639947,-0.0468524,0.3462121,-0.01324377,-0.05508998,0.375765
1441853,86677936982,0.0463968,-0.04677973,0.3462421,-0.01325134,-0.05504624,0.3757407
1441855,86677953931,0.04644037,-0.04664893,0.346207,-0.01322226,-0.05497836,0.3757347
1441857,86677972828,0.04653083,-0.04653931,0.3461921,-0.013119,-0.05495679,0.3757152
1441859,86677989301,0.04654241,-0.04655375,0.3462023,-0.01303074,-0.05506813,0.3756945
1441861,86678004295,0.04657648,-0.04652185,0.3461899,-0.01296196,-0.05505898,0.3756833
1441863,86678022504,0.04657772,-0.04660734,0.3461596,-0.01291035,-0.05521073,0.3756638
1441865,86678038816,0.04662124,-0.04663363,0.3461428,-0.0128411,-0.0552503,0.3756513
1441867,86678057906,0.04663483,-0.04667598,0.3461745,-0.01278869,-0.05528756,0.3756702
1441869,86678082822,0.04659337,-0.04677096,0.3462092,-0.01280247,-0.05529293,0.375662
1441872,86678102968,0.04649394,-0.0468129,0.3462478,-0.01288616,-0.05529007,0.3756577
1441874,86678124893,0.04640328,-0.04688419,0.3461749,-0.01297698,-0.05530153,0.3755773
1441877,86678147239,0.04632149,-0.04697809,0.3461808,-0.01310464,-0.05532234,0.3755819
1441879,86678168439,0.04622222,-0.04703751,0.3462522,-0.01324756,-0.05536625,0.3756569
1441881,86678191960,0.04616427,-0.04701908,0.3463112,-0.01333829,-0.05531088,0.3756881
1441884,86678213992,0.04614976,-0.04698398,0.3463714,-0.01338959,-0.05515151,0.3757069
1441886,86678237117,0.04611142,-0.04691068,0.3463541,-0.01345318,-0.05489901,0.3756333
1441889,86678257265,0.04605903,-0.04684281,0.3462784,-0.01353251,-0.05469694,0.375535
1441891,86678282899,0.04595701,-0.04679506,0.346243,-0.01359779,-0.05459778,0.3754774
1441894,86678302712,0.045863,-0.04676222,0.3462796,-0.0136789,-0.05458776,0.3754979
1441896,86678325563,0.04579979,-0.04669248,0.3462891,-0.0137213,-0.05457775,0.3755043
1441899,86678346042,0.045787,-0.04665389,0.3462471,-0.01365253,-0.05468648,0.3754604
1441901,86678371497,0.04586354,-0.04663618,0.3462305,-0.01348277,-0.05482301,0.3754539
1441904,86678391786,0.04604388,-0.04675951,0.3462308,-0.01337,-0.05485853,0.3754762
1441906,86678415197,0.04625327,-0.0468797,0.3461232,-0.01310379,-0.05498027,0.3754417
1441908,86678436073,0.04643224,-0.0468837,0.3459898,-0.0128917,-0.05504963,0.3753783
1441911,86678459270,0.04656696,-0.04696056,0.3459251,-0.01276311,-0.05508637,0.3753688
1441914,86678482657,0.04670251,-0.04704169,0.3459131,-0.01266706,-0.05516797,0.3754301
1441916,86678503512,0.04675942,-0.04703717,0.3459076,-0.0126219,-0.05518109,0.3754776
1441918,86678527027,0.04677772,-0.04701721,0.3459032,-0.01266089,-0.05507179,0.3755107
1441921,86678549561,0.04674476,-0.04704285,0.346003,-0.01263743,-0.05510496,0.3755561
1441924,86678572992,0.04666579,-0.04692968,0.3460511,-0.01267712,-0.05498762,0.3755779
1441926,86678591648,0.04658274,-0.04687284,0.3461092,-0.01274067,-0.05497343,0.3756303
1441928,86678615550,0.0464799,-0.04685585,0.3461931,-0.01286273,-0.05499576,0.3757143
1441931,86678636896,0.04642307,-0.04687636,0.3461563,-0.01296361,-0.05496895,0.3756539
1441933,86678659615,0.04636558,-0.04693418,0.3461332,-0.01306767,-0.05493259,0.3755779
1441936,86678681809,0.04633242,-0.04690312,0.3461426,-0.01313704,-0.05483854,0.3754998
1441938,86678704027,0.04635704,-0.04682023,0.346169,-0.01307399,-0.05476585,0.3754338
1441941,86678726312,0.04641527,-0.04685997,0.3462254,-0.01291518,-0.0548588,0.3753929
1441943,86678751195,0.04647095,-0.04687437,0.3462477,-0.01276844,-0.05494168,0.3753248
1441945,86678771529,0.0464765,-0.04693096,0.3462992,-0.01271442,-0.05506141,0.3753455
1441948,86678792071,0.04648424,-0.04702288,0.3462876,-0.012671,-0.05523526,0.375315
1441951,86678816294,0.0464161,-0.04705996,0.346342,-0.01275267,-0.05529069,0.3753244
1441953,86678837269,0.04628659,-0.04699633,0.3464706,-0.01298772,-0.05521908,0.3754424
1441955,86678861651,0.04602962,-0.04676681,0.3465466,-0.01332997,-0.05511466,0.3754652
1441958,86678883111,0.0458609,-0.04652796,0.3465852,-0.01356938,-0.05506529,0.3755271
1441960,86678905300,0.04580946,-0.04648958,0.3466312,-0.01373759,-0.05504207,0.3756135
1441963,86678926139,0.04586756,-0.04652957,0.346626,-0.01374578,-0.05507849,0.3756407
1441965,86678950354,0.04593592,-0.04656313,0.3465857,-0.01380319,-0.05498559,0.3756647
1441968,86678971392,0.04604796,-0.04663253,0.346565,-0.01384045,-0.05482545,0.37568
1441969,86678987451,0.04609775,-0.04676262,0.3465318,-0.01380717,-0.05487524,0.3756317
1441971,86679005584,0.04607803,-0.04678255,0.3464791,-0.01384451,-0.0547702,0.3755966
1441974,86679024486,0.04611165,-0.04687565,0.3464156,-0.01387024,-0.05480463,0.3755794
1441975,86679040111,0.0461217,-0.04686102,0.3464755,-0.01386965,-0.054789,0.375635
1441978,86679061482,0.04605602,-0.04690371,0.3464298,-0.0139416,-0.05488939,0.375591
1441979,86679076471,0.04605978,-0.04692622,0.346397,-0.01389887,-0.05496343,0.3755463
1441981,86679092721,0.0460499,-0.04698545,0.346436,-0.01389476,-0.05502833,0.3755862
1441983,86679107547,0.04608187,-0.04697985,0.3464801,-0.01383857,-0.055044,0.3756174
1441985,86679124108,0.04613832,-0.04692676,0.3464722,-0.01374896,-0.05498636,0.3756094
1441991,86679186736,0.04602915,-0.04684518,0.3463122,-0.01370484,-0.05492394,0.3754739
1441993,86679204517,0.04597647,-0.04685091,0.3462698,-0.01365103,-0.05498155,0.375459
1441996,86679224915,0.04593354,-0.04691343,0.3462963,-0.01366874,-0.05498977,0.3754771
1441997,86679241598,0.04593854,-0.04696366,0.3462639,-0.01369476,-0.05500037,0.3754709
1442000,86679260860,0.0459244,-0.0469135,0.3463306,-0.01378428,-0.05492667,0.3756014
1442002,86679280061,0.04594754,-0.04684053,0.3463514,-0.01385603,-0.05482895,0.3756998
1442004,86679303203,0.04598809,-0.04683133,0.3463888,-0.01387417,-0.05484417,0.3758068
1442007,86679324484,0.04609553,-0.04697919,0.3464062,-0.01377748,-0.05502209,0.3758821
1442009,86679347719,0.04618378,-0.04730888,0.3465638,-0.01369135,-0.05537852,0.3761396
1442012,86679369113,0.04635199,-0.04767327,0.3468283,-0.01347962,-0.05561943,0.3764921
1442014,86679391239,0.04673525,-0.04863568,0.3473126,-0.01304946,-0.05634923,0.3770916
1442016,86679413545,0.04727691,-0.05036019,0.3481298,-0.01236357,-0.05774846,0.3779479
1442019,86679436670,0.04777649,-0.05240226,0.3492055,-0.01155745,-0.05958177,0.3791077
1442021,86679456646,0.04823375,-0.05347189,0.3502952,-0.01096229,-0.06079841,0.3804231
1442024,86679478634,0.04862738,-0.05499458,0.3518259,-0.01036315,-0.06275737,0.382179
1442027,86679502934,0.0485216,-0.05659405,0.3535554,-0.01020947,-0.0649095,0.384223
1442029,86679526599,0.04841055,-0.05772159,0.354128,-0.009631516,-0.06638312,0.3852605
1442031,86679547584,0.04768874,-0.05869167,0.354417,-0.00956722,-0.06726205,0.3856597
1442034,86679568837,0.04649415,-0.06004588,0.3542126,-0.009860521,-0.06812133,0.3858356
1442036,86679592195,0.04556651,-0.06196642,0.3533131,-0.00970212,-0.06918031,0.3855065
1442039,86679612882,0.04462902,-0.06395165,0.3522627,-0.009836033,-0.07031981,0.3851582
1442041,86679636627,0.04387769,-0.06539094,0.3512546,-0.01019366,-0.07085693,0.3848807
1442044,86679657688,0.04386881,-0.06564236,0.3504052,-0.009650236,-0.07151925,0.3844598
1442046,86679681488,0.04429307,-0.06509274,0.3499015,-0.009143009,-0.07208013,0.3840441
1442049,86679703068,0.04514955,-0.06383159,0.3492491,-0.008427946,-0.0725823,0.3830832
1442051,86679724296,0.04619354,-0.06265061,0.3485058,-0.007355998,-0.07341795,0.3823611
1442053,86679745899,0.04711636,-0.06118801,0.3481787,-0.006793006,-0.07299108,0.3819317
1442056,86679770560,0.04844137,-0.05963713,0.3476599,-0.005925352,-0.07211575,0.3811111
1442059,86679800773,0.04940291,-0.058315,0.3469927,-0.004710131,-0.07245949,0.3802985
