id,timestamp,index_x,index_y,index_z,pinky_x,pinky_y,pinky_z
1444612,86702903051,0.05212791,-0.07719382,0.3496282,0.003714649,-0.08638238,0.3836476
1444616,86702929014,0.05215862,-0.07727882,0.3495751,0.00378091,-0.08657767,0.3834854
1444619,86702956864,0.05220217,-0.0775013,0.3495986,0.003845617,-0.08673321,0.3835497
1444622,86702979671,0.05232406,-0.07774429,0.3498244,0.00402646,-0.08712897,0.3837046
1444625,86703007799,0.05250587,-0.07792554,0.3496845,0.004321971,-0.08765312,0.3835116
1444628,86703031789,0.05281143,-0.07782817,0.3495712,0.004566909,-0.08767086,0.3834066
1444630,86703059617,0.05304765,-0.07785367,0.3495948,0.004787389,-0.08752787,0.3835079
1444633,86703087337,0.05325098,-0.07802452,0.3494462,0.005045145,-0.08778781,0.3833012
1444637,86703114933,0.05345331,-0.07797181,0.3498676,0.005337152,-0.08803508,0.3834931
1444640,86703147168,0.05360118,-0.07804437,0.3499598,0.005554653,-0.08821324,0.3834039
1444643,86703174059,0.05359816,-0.07812445,0.3499321,0.005602838,-0.08801704,0.383516
1444646,86703202247,0.05363199,-0.07827744,0.3496573,0.005713418,-0.08773822,0.3834533
1444649,86703229134,0.05353699,-0.07835363,0.3498069,0.005615687,-0.087671,0.383681
1444652,86703255526,0.05362727,-0.07848585,0.349711,0.005670476,-0.08764823,0.3836294
1444655,86703281300,0.05376144,-0.07854012,0.3496758,0.005748694,-0.08739326,0.3836967
1444658,86703308589,0.05381845,-0.0786937,0.3494302,0.005899276,-0.08718603,0.383558
1444662,86703334189,0.05379763,-0.07896182,0.3492288,0.005986038,-0.08730774,0.3834394
1444664,86703357622,0.0538529,-0.0789239,0.3492255,0.006072128,-0.08737881,0.3834338
1444667,86703386793,0.05402229,-0.0788226,0.3493889,0.006188246,-0.08733226,0.3836699
1444669,86703412168,0.05422731,-0.07877767,0.3495183,0.006462044,-0.08784118,0.3835818
1444673,86703439101,0.05416252,-0.07860437,0.3497508,0.006583987,-0.08875076,0.3833749
1444676,86703466074,0.05421836,-0.07854573,0.3500441,0.006852991,-0.08959123,0.3833206
1444679,86703494019,0.05414457,-0.07849003,0.3502242,0.006938814,-0.090041,0.3833576
1444681,86703520584,0.05413061,-0.07844804,0.3503344,0.006958869,-0.09013849,0.3834534
1444684,86703544638,0.05418334,-0.07839879,0.3502553,0.006961588,-0.09016432,0.3833532
1444686,86703565767,0.05410531,-0.07836988,0.3503264,0.006735719,-0.08979028,0.3835475
1444690,86703592412,0.05411094,-0.07839972,0.3501197,0.006586694,-0.08930843,0.3834977
1444693,86703619445,0.05399795,-0.07845196,0.3500339,0.006340232,-0.08849248,0.3837011
1444695,86703647978,0.0538801,-0.07830448,0.3501214,0.006148098,-0.08786973,0.3839586
1444699,86703675568,0.05387248,-0.07833708,0.3501396,0.006004047,-0.08745213,0.3840497
1444701,86703702733,0.05379277,-0.07825795,0.3502657,0.005979217,-0.08770815,0.3840324
1444705,86703734570,0.05393925,-0.07805859,0.3505061,0.006220204,-0.08877221,0.3837948
1444708,86703757479,0.05413827,-0.0781208,0.3506548,0.006561752,-0.09002265,0.3835576
1444712,86703785628,0.05422092,-0.07805543,0.3508312,0.006811364,-0.09102699,0.3833923
